JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2411741.3125,3.9,,,Vis.,MWK,,,,,JD corrected from 2414663.312500; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2411742.364583,2.2,,,Vis.,MWK,,,,,JD corrected from 2414664.364600; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2411781.331944,2.8,,,Vis.,MWK,,,,,JD corrected from 2414703.331900; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2411797.418056,2.3,,,Vis.,MWK,,,,,JD corrected from 2414719.418100; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2411797.425694,2.4,,,Vis.,MWK,,,,,JD corrected from 2414719.425700; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2411806.340278,2.3,,,Vis.,MWK,,,,,JD corrected from 2414728.340300; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2411807.352778,2.6,,,Vis.,MWK,,,,,JD corrected from 2414729.352800; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412065.283333,3.4,,,Vis.,MWK,,,,,JD corrected from 2414987.283300; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412065.320833,3.2,,,Vis.,MWK,,,,,JD corrected from 2414987.320800; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412065.326389,3.3,,,Vis.,MWK,,,,,JD corrected from 2414987.326400; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412065.336806,3.1,,,Vis.,MWK,,,,,JD corrected from 2414987.336800; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412099.328472,2.1,,,Vis.,MWK,,,,,JD corrected from 2414656.328500; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412101.440972,2.2,,,Vis.,MWK,,,,,JD corrected from 2414658.441000; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412102.265278,2.1,,,Vis.,MWK,,,,,JD corrected from 2414659.265300; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412102.274306,2.1,,,Vis.,MWK,,,,,JD corrected from 2414659.274300; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412102.293056,2.1,,,Vis.,MWK,,,,,JD corrected from 2414659.293100; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412125.328472,2.6,,,Vis.,MWK,,,,,JD corrected from 2414682.328500; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
