Obj		CH		MGb		Fe52	Fe53	NaD		Hbeta	CN		Mg1		Mg2		eCH		eMGb	eFe52	eFe53	eNaD	eHbeta	eCN		eMg1	eMg2
NGC104	0.150	0.106	0.063	0.054 	0.089	0.066	0.013	0.069	0.180	0.008	0.007	0.008	0.007	0.008	0.007	0.008	0.008	0.009
NGC362	0.109	0.002	0.038	0.027	0.039	0.066	-0.042	0.028	0.079	0.012	0.008	0.010	0.008	0.009	0.009	0.011	0.009	0.009
NGC5024	-99.	0.027	-99.	0.013	-99.	0.111	-99.	0.001	0.053	-99.	0.010	-99.	0.010	-99.	0.011	-99.	0.012	0.013
NGC5824	0.049	0.003	0.039	0.029	0.073	0.101	-0.091	-0.006	0.024	0.017	0.008	0.011	0.010	0.011	0.012	0.014	0.011	0.012
NGC5946	0.096	0.019	0.044	0.040	0.129	0.082	-0.097	0.022	0.051	0.030	0.009	0.013	0.015	0.014	0.013	0.024	0.013	0.016
NGC6171	-99.	0.058	0.082	0.038	-99.	0.057	-99.	-99.	-99.	-99.	0.008	0.010	0.009	-99.	0.012	-99.	-99.	-99.
NGC6218	-99.	0.060	0.032	0.024	-99.	0.049	-99.	0.020	0.070	-99.	0.010	0.012	0.011	-99.	0.012	-99.	0.009	0.010
NGC6284	0.059	0.038	0.043	0.031	0.088	0.115	-0.082	0.027	0.077	0.020	0.011	0.014	0.012	0.013	0.015	0.017	0.010	0.011
NGC6293	0.044	-0.004	0.028	0.016	0.097	0.105	-0.106	-0.005	0.018	0.016	0.009	0.013	0.010	0.012	0.015	0.016	0.009	0.010
NGC6356	-99.	0.101	0.068	0.032	-99.	0.067	-99.	0.062	0.179	-99.	0.010	0.015	0.011	-99.	0.010	-99.	0.013	0.015
NGC6397	0.006	0.005	0.029	0.022	0.066	0.132	-0.142	-0.008	0.011	0.023	0.011	0.011	0.008	0.009	0.010	0.027	0.010	0.011
NGC6624	0.165	0.090	0.061	0.052	0.105	0.078	0.020	0.050	0.150	0.021	0.012	0.014	0.012	0.013	0.015	0.018	0.012	0.014
NGC6626	0.091	0.039	0.044	0.035	0.093	0.101	-0.052	-0.002	0.063	0.017	0.008	0.014	0.011	0.012	0.013	0.016	0.013	0.014
NGC6637	-99.	0.097	0.047	0.044	-99.	0.055	-99.	0.050	-99.	-99.	0.008	0.008	0.006	-99.	0.016	-99.	0.016	-99.
NGC6712	-99.	-99.	0.043	0.023	-99.	0.061	-99.	-99.	-99.	-99.	-99.	0.020	0.018	-99.	0.018	-99.	-99.	-99.
NGC6838	-99.	-99.	-99.	-99.	-99.	0.069	-99.	0.033	0.123	-99.	-99.	-99.	-99.	-99.	0.014	-99.	0.015	0.016
NGC7078	0.022	0.011	0.028	0.015	0.067	0.105	-0.102	-0.005	0.017	0.007	0.005	0.008	0.006	0.007	0.006	0.006	0.008	0.008
NGC7099	0.027	0.013	0.025	0.022	0.043	0.120	-0.115	-0.002	0.031	0.008	0.004	0.007	0.005	0.006	0.005	0.006	0.007	0.008
