"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 20 2008","2454698.5","240883201","632.49","7.22e-8","6.80e-9","-1.54","-","89.38","1e-8","0","bin1.log"
"Sep 19 2008","2454728.5","243475201","366.78","5.09e-8","6.50e-9","-1.54","-","62.69","1e-8","0","bin2.log"
"Nov 18 2008","2454788.5","248659201","507.72","6.97e-8","7.50e-9","-1.54","-","17.50","1e-8","0","bin4.log"
"Dec 18 2008","2454818.5","251251201","631.78","6.18e-8","6.20e-9","-1.54","-","27.95","1e-8","0","bin5.log"
"Jan 17 2009","2454848.499988426","253843201","269.32","4.16e-8","5.80e-9","-1.54","-","57.58","1e-8","0","bin6.log"
"Feb 16 2009","2454878.499988426","256435201","339.27","3.74e-8","5.20e-9","-1.54","-","88.59","1e-8","0","bin7.log"
"Mar 18 2009","2454908.499988426","259027201","160.2","3.01e-8","5.30e-9","-1.54","-","118.04","1e-8","0","bin8.log"
"Apr 17 2009","2454938.499988426","261619201","170.24","3.09e-8","5.10e-9","-1.54","-","146.24","1e-8","0","bin9.log"
"May 17 2009","2454968.499988426","264211201","295.92","3.87e-8","5.40e-9","-1.54","-","173.28","1e-8","0","bin10.log"
"Jun 16 2009","2454998.499988426","266803201","186.56","3.33e-8","5.60e-9","-1.54","-","154.23","1e-8","0","bin11.log"
"Jul 16 2009","2455028.499988426","269395201","339.42","3.97e-8","5.20e-9","-1.54","-","123.69","1e-8","0","bin12.log"
"Aug 15 2009","2455058.499988426","271987201","180.49","3.22e-8","5.50e-9","-1.54","-","94.29","1e-8","0","bin13.log"
"Sep 14 2009","2455088.499988426","274579201","166.77","3.95e-8","6.20e-9","-1.54","-","67.19","1e-8","0","bin14.log"
"Oct 14 2009","2455118.499988426","277171201","182.74","4.55e-8","7.00e-9","-1.54","-","42.13","1e-8","0","bin15.log"
"Nov 13 2009","2455148.499988426","279763201","183.1","3.63e-8","6.00e-9","-1.54","-","20.04","1e-8","0","bin16.log"
